ULTIMOS REGISTROS:

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 20:42:44

Avión: VUE3245| Origen:BILBAO| Destino: LYON | Hora despegue: 20:42:44

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 20:51:22

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 23:56:36

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 2:56:8

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 3:36:52

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 3:37:35

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 5:31:39

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 5:31:39

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 5:31:39

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 5:31:39

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:2:36

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:2:36

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:2:36

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:2:36

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:8:58

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:8:58

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:8:58

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:8:58

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:10:52

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:10:52

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:10:52

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:10:52

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:13:4

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:13:4

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:13:4

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:13:4

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:18:26

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:34:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:34:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:34:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:34:18

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:43:40

Avión: VUE3245| Origen:BILBAO| Destino: LYON | Hora despegue: 13:43:40

Avión: LU4954| Origen:BILBAO| Destino: MUNICH | Hora despegue: 13:43:40

Avión: AE2325| Origen:BILBAO| Destino: MILAN | Hora despegue: 13:43:40

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:43:40

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:43:40

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:43:40

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:43:40

Avión: IB2365| Origen:BILBAO| Destino: MADRID | Hora despegue: 13:51:57

Avión: VUE3245| Origen:BILBAO| Destino: LYON | Hora despegue: 13:51:57

Avión: LU4954| Origen:BILBAO| Destino: MUNICH | Hora despegue: 13:51:57

Avión: AE2325| Origen:BILBAO| Destino: MILAN | Hora despegue: 13:51:57

